id,university,typical,subject,start,end,term,first_result,interview_date,final_result
1,서울대학교,일반전형,국어국문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
2,서울대학교,일반전형,중어중문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
3,서울대학교,일반전형,영어영문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
4,서울대학교,일반전형,불어불문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
5,서울대학교,일반전형,독어독문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
6,서울대학교,일반전형,노어노문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
7,서울대학교,일반전형,서어서문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
8,서울대학교,일반전형,언어학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
9,서울대학교,일반전형,아시아언어문명학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
10,서울대학교,일반전형,국사학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
11,서울대학교,일반전형,동양사학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
12,서울대학교,일반전형,서양사학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
13,서울대학교,일반전형,고고미술사학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
14,서울대학교,일반전형,철학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
15,서울대학교,일반전형,종교학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
16,서울대학교,일반전형,미학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
17,서울대학교,일반전형,정치외교학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
18,서울대학교,일반전형,경제학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
19,서울대학교,일반전형,사회학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
20,서울대학교,일반전형,인류학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
21,서울대학교,일반전형,심리학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
22,서울대학교,일반전형,지리학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
23,서울대학교,일반전형,사회복지학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
24,서울대학교,일반전형,언론정보학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
25,서울대학교,일반전형,수리과학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
26,서울대학교,일반전형,통계학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
27,서울대학교,일반전형,물리천문학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
28,서울대학교,일반전형,화학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
29,서울대학교,일반전형,생명과학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
30,서울대학교,일반전형,지구환경과학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
